text,label
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
Your invoice for the recent purchase is attached.,ham
Earn money fast with this simple trick!,spam
Let's catch up over coffee next week.,ham
Your account has been compromised. Click here to secure it now.,spam
"Congratulations! You have won $1,000,000! Click here to claim your prize.",spam
"Hi John, let's schedule the meeting at 3 PM tomorrow.",ham
Limited time offer! Get 50% off on your purchase.,spam
Reminder: Your appointment is scheduled for tomorrow at 10 AM.,ham
You've been selected for a chance to win a free vacation.,spam
Can we reschedule our call to next week?,ham
